,abstract,country,journal,pmid,pubdate,title,psyc
710,"BACKGROUND
Rice is a special crop, and its production differs from that of other crops because it requires a thin layer of water coverage for a long period. The calculation of the water footprint of rice production should differ from that of other crops due to the rice growing process. This study improved the calculation of blue and grey water footprints of rice production and analysed the variations of the water footprints for rice production under different rainfall years in Jilin Province.


RESULTS
In the drought year the green water footprint was the lowest, and the blue water footprint was the highest among the three years, while in the humid year, the green water footprint was the highest, but the blue water footprint was not the lowest. The areas with higher water footprints were found in the east and west regions of Jilin Province, and areas with lower water footprints were found in the middle east and middle regions of Jilin Province.


CONCLUSION
Blue water was the primary water resource for rice production, although more precipitation provided the highest green water in the humid year; and the spatial distribution of water footprints were not the same under different rainfall years.",England,Journal of the science of food and agriculture,29193107,2017,"Characteristics of the Water Footprint of Rice Production under Different Rainfall Years in Jilin Province, China.",n
711,"OBJECTIVES
Untreated dental caries can compromise oral health-related quality of life (OHRQoL). However, it is not clear which specific daily activities related to OHRQoL are compromised by the presence of this problem. Therefore, the purpose of this study was to identify which specific daily activities are affected by the presence of untreated dental caries using a representative sample of Brazilian children.


METHODS
A cross-sectional study using a representative sample of Brazilian children (12 years of age) was conducted. The presence of untreated dental caries was assessed using the ""decayed - D"" component of the DMFT (decayed, missing, and filled teeth) index. Clinical exams were conducted by trained and calibrated dentists. The daily activities were evaluated using the survey Oral Impacts on Daily Performance (OIDP), considering items and domains. Descriptive, bivariate, and multiple analyses were conducted (Î±â€‰=â€‰0.05).


RESULTS
A total of 7,247 children were included, and 39.9 percent had at least one tooth with untreated dental caries, with 33.5 percent experiencing an impact on at least one of the OIDP activities. This study identified a greater chance of the presence of untreated dental caries in children having an impact on the psychological domain (Pâ€‰=â€‰0.006), as well as on the ""difficulty eating"" (Pâ€‰=â€‰0.007), and ""difficulty sleeping"" (Pâ€‰=â€‰0.023) items.


CONCLUSION
The presence of untreated dental caries among Brazilian children was associated with an impact on specific daily activities (difficulty eating and sleeping) and the psychological domain of OHRQoL.",United States,Journal of public health dentistry,29193108,2017,Impact of untreated dental caries on the daily activities of children.,n
712,"The skeletal trauma resulting from fatal low (â‰¤3Â m) free falls is poorly researched and understood by forensic practitioners. The aim of this study was to identify the types of skeletal trauma resulting from low falls through investigating fracture patterns and morphologies. Skeletal trauma was analyzed using full-body postmortem computed tomography scans of 145 individuals who died from a low free fall. Trauma was then contextualized to the variables that influence how a person falls using multiple logistic regression. Results showed fracture patterning primarily involved the axial skeleton and that there were a number of patterns significantly associated with the height fallen, pre-existing health conditions, and age. Analysis of fracture morphologies showed 108 possible fracture types, six of which were significantly associated with the height fallen. Understanding the skeletal trauma characteristic of low free falls will further inform anthropological interpretations of trauma in cases where a fall may be considered the possible mechanism.",United States,Journal of forensic sciences,29193109,2017,Skeletal Trauma Resulting From Fatal Low (â‰¤3Â m) Free Falls: An Analysis of Fracture Patterns and Morphologies.,n
713,"OBJECTIVES/HYPOTHESIS
To describe the prevalence of reported tinnitus and tinnitus handicap in the all-African American Jackson Heart Study (JHS) cohort, with assessment of the relationship to cardiometabolic risk and depression.


STUDY DESIGN
Prospective cohort study.


METHODS
Audiologic data were obtained from a sample of 1,314 participants of the JHS. Reported tinnitus was assessed dichotomously (yes/no) by interview and with the Tinnitus Handicap Inventory (THI). The statistical relationship of reported tinnitus and tinnitus handicap to various cardiometabolic risks (i.e., hypertension and waist circumference) and Center for Epidemiologic Studies Depression scale (CES-D) was assessed with logistic and gamma regression procedures.


RESULTS
Tinnitus was found to be a highly prevalent condition (29.5%), with an additionally high rate of individuals who report at least slight tinnitus handicap (35%). Hypertension (Î² = 1.344, 95% confidence interval [CI]: 1.015-1.780, P = .039) and waist circumference (Î² = 1.009, 95% CI: 1.001-1.018, P = .021) were found to have a statistically significant relationship with THI score, depending on the level of covariate adjustment. Depression, as measured by the CES-D, was found to have a statistically significant relationship with both reported tinnitus (odds ratio [OR]: 1.051, 95% CI: 1.030-1.072, P < .001) and THI score (Î² = 1.029, 95% CI: 1.013-1.047, P = .001), which persisted for all levels of covariate adjustment in statistical models.


CONCLUSIONS
Tinnitus was found to be highly prevalent in the JHS, and certain measures of cardiometabolic risk are weakly related to both reported tinnitus and level of tinnitus handicap. A consistent relationship between depression and tinnitus/level of tinnitus handicap was observed.


LEVEL OF EVIDENCE
2b Laryngoscope, 2017.",United States,The Laryngoscope,29193110,2017,Tinnitus and its risk factors in african americans: The Jackson Heart Study.,n
714,"BACKGROUND
In addition to titration by indirect antiglobulin test most widely used, anti-D quantitation by continuous-flow analysis (CFA) may be performed to assess severity of maternal immunization. Only five studies have reported its added value in the management of pregnancies complicated by anti-D immunization.


STUDY DESIGN AND METHODS
A retrospective study of 74 severe anti-D-immunized pregnancies was conducted from January 1, 2013, to December 31, 2014, in the Trousseau Hospital in Paris (France). Concentration of maternal anti-D was measured by titration and by CFA two-stages method (2SM; total amount of anti-D) and one-stage method (1SM; high-affinity IgG1 anti-D). These biologic data were analyzed according to the severity of the hemolytic disease of the fetus and the newborn.


RESULTS
The value of 5 IU anti-D/mL in maternal serum is validated as a threshold to trigger ultrasonographic and Doppler fetal close follow-up. A high 1SM/2SM ratio was associated with a higher risk of intrauterine transfusion (IUT). For pregnancies requiring IUT and without increasing titer, maternal 1SM anti-D concentration tends to correlate with the precocity of fetal anemia. In the ""without-IUT"" group 1SM and 2SM anti-D concentrations correlate significantly with cord bilirubin levels of the newborn at birth.


CONCLUSION
Altogether our results underline the importance of anti-D quantitation by CFA to optimize the management of anti-D-alloimmunized pregnancies.",United States,Transfusion,29193111,2017,Clinical input of anti-D quantitation by continuous-flow analysis on autoanalyzer in the management of high-titer anti-D maternal alloimmunization.,n
715,"OBJECTIVE
The prevalence of unilateral hearing loss (UHL) in adults has not been well characterized. The objectives of this study are to determine the prevalence of UHL in U.S. adults and its treatment with hearing aids using a nationally representative study.


STUDY DESIGN
Cross-sectional national epidemiologic study (n = 6,242).


METHODS
Subjects â‰¥ 18 years old with audiometric testing in the 2005 to 2006, 2009 to 2010, and 2011 to 2012 cycles of the National Health and Nutrition Examination Study were included. UHL was defined as normal hearing (â‰¤25 decibels hearing level [dB HL] pure tone average [PTA]) in one ear and at least mild hearing loss (>25 dB HL PTA) in the other ear. Hearing aid usage was defined by at least 5 hours per week (2005-2006) or at least seldom (2009-2012) use. Sampling weights were utilized to ensure generalizability to the U.S.


POPULATION



RESULTS
The overall prevalence of UHL in adult Americans was 7.2% (95% confidence interval 6.1%-8.6%), with 5.7% (4.8%-6.7%) having mild and 1.5% (0.1%-2.1%) with moderate-or-worse UHL; nearly one-third of the latter reported trouble hearing. The prevalence of hearing aid usage in those with UHL was 2.0% (0.6%-6.7%). Of those with mild UHL, 1.4% (0.2%-8.0%) used hearing aids. Of those with moderate UHL, 4.2% (0.1%-22%) used hearing aids. Among those with UHL and also at least moderate subjective difficulty hearing, only 11% wore hearing aids.


CONCLUSION
UHL is common among U.S. adults. Hearing aid usage is very low, even when there is perceived handicap. Public health education is needed to increase awareness of and auditory rehabilitation for UHL.


LEVEL OF EVIDENCE
2. Laryngoscope, 2017.",United States,The Laryngoscope,29193112,2017,Prevalence of adult unilateral hearing loss and hearing aid use in the United States.,n
720,"BACKGROUND
D antigens are not taken into account in the allocation of solid organs. Female transplant recipients with D antibodies as a consequence of D-mismatched kidney transplantation may develop hemolytic disease of the fetus and newborn in future pregnancies. We examined D antibody development in transplant recipients who received D-mismatched kidney transplantation in absence of D prophylaxis and in a setting of reduced immunosuppression.


STUDY DESIGN AND METHODS
From 1993 until 2015, a total of 1355 kidney patients received transplantations in our center of whom 156 received a D-mismatched graft. A retrospective analysis was conducted; frozen stored sera obtained from transplant recipients 3 months after transplantation were tested for irregular red blood cell (RBC) antibodies using a three-cell screening and an identification panel. In the case of D antibody positivity, additional testing was performed 1 month before transplantation.


RESULTS
In seven of 156 (4.5%) transplant recipients we found irregular RBC antibodies after transplantation, of which five (3.2%) were determined to be D antibodies. We observed only one (0.6%) recipient without D antibodies before transplantation.


CONCLUSION
Although the risk of D antibody development is considerably lower after D-mismatched kidney transplantation than D-mismatched pregnancy, anti-D prophylaxis may still be advisable for female transplant recipients of childbearing age.",United States,Transfusion,29193117,2017,The development of D antibodies after D-mismatched kidney transplantation in a setting of reduced immunosuppression.,n
721,"BACKGROUND
Critically ill preterm very-low-birthweight (VLBW) neonates (birthweightâ€‰â‰¤â€‰1.5 kg) frequently develop anemia that is treated with red blood cell (RBC) transfusions. Although RBCs transfused to adults demonstrate progressive decreases in posttransfusion 24-hour RBC recovery (PTR24 ) during storage-to a mean of approximately 85% of the Food and Drug Administration-allowed 42-day storage-limited data in infants indicate no decrease in PTR24 with storage.


STUDY DESIGN AND METHODS
We hypothesized that PTR24 of allogeneic RBCs transfused to anemic VLBW newborns: 1) will be greater than PTR24 of autologous RBCs transfused into healthy adults and 2) will not decrease with increasing storage duration. RBCs were stored at 4Â°C for not more than 42 days in AS-3 or AS-5. PTR24 was determined in 46 VLBW neonates using biotin-labeled RBCs and in 76 healthy adults using 51 Cr-labeled RBCs. Linear mixed-model analysis was used to estimate slopes and intercepts of PTR24 versus duration of RBC storage.


RESULTS
For VLBW newborns, the estimated slope of PTR24 versus storage did not decrease with the duration of storage (pâ€‰=â€‰0.18) while for adults it did (pâ€‰<â€‰0.0001). These estimated slopes differed significantly in adults compared to newborns (pâ€‰=â€‰0.04). At the allowed 42-day storage limit, projected mean neonatal PTR24 was 95.9%; for adults, it was 83.8% (pâ€‰=â€‰0.0002).


CONCLUSIONS
These data provide evidence that storage duration of allogeneic RBCs intended for neonates can be increased without affecting PTR24 . This conclusion supports the practice of transfusing RBCs stored up to 42 days for small-volume neonatal transfusions to limit donor exposure.",United States,Transfusion,29193118,2017,In premature infants there is no decrease in 24-hour posttransfusion allogeneic red blood cell recovery after 42 days of storage.,n
722,"BACKGROUND
Molecular tests designed to detect the presence of active RHD gene among D- donors have been successfully applied in people of European ancestry, but not in admixed populations with a considerable frequency of RHD*Î¨. Our goal was to evaluate the performance of a molecular screening tool for identifying active RHD alleles among Brazilian blood donors classified as D- C+ and/or E+.


STUDY DESIGN AND METHODS
Pools of five DNA samples of serologically D- C+ and/or E+ donors were checked by a RHD polymerase chain reaction (PCR) assay specific for RHD Intron 4 and Exon 7. When a pool result was positive, samples were genotyped individually for RHD Intron 4 and Exon 7, RHD*Î¨, RHCE*Cc, and RHD zygosity. Donors suspected of active RHD gene were further evaluated by whole-coding region and flanking intron direct sequencing.


RESULTS
A total of 405 donors were included. Two percent exhibited active RHD gene, codifying D-weak (38 and 45) or DEL phenotype. The most prevalent DEL allele was RHD*DEL1 (c.1227G>A), which is proven to be immunogenic. A high frequency of RHD*Î¨ was detected in the donors with nondeleted RHD alleles (31%), far superior to the frequency of RHD variant alleles (15.5%). The proposed approach presented sensitivity of 100% and specificity of 85.7% for identifying active RHD gene.


CONCLUSION
The strategy of checking D- donors with RHD PCR followed by exclusion of RHD*Î¨ allele has proved efficient in identifying weak-D and DEL phenotype in the Brazilian population.",United States,Transfusion,29193119,2017,Evaluation of the applicability and effectiveness of a molecular strategy for identifying weakÂ D and DEL phenotype among D- blood donors of mixed origin exhibiting high frequency of RHD*Î¨.,n
723,"OBJECTIVE
This study is designed to analyze the survival benefits of elective neck dissection (END) in the treatment of squamous cell carcinoma of the maxillary sinus (MS-SCC) with clinically negative neck lymph nodes (N0) and no metastasis (M0).


STUDY DESIGN
The aim of this study was to evaluate whether END improves survival in patients with MS-SCC.


METHODS
This study is a population-based, concurrent retrospective database analysis of patients diagnosed with N0M0 MS-SCC from 2004 to 2013. Data were acquired from the Surveillance, Epidemiology, and End Results database. Frequency functions, Kaplan-Meier and Cox regression models were queried to analyze demographics, treatment status, and survival outcomes.


RESULTS
There were a total of 927 MS-SCC cases in the database between 2004 and 2013. This analysis revealed that for the overall cohort, END significantly and independently reduces the 5-year hazard of death in MS-SCC (hazard ratio [HR] = 0.646, 95% confidence interval [CI] = 0.419-0.873, P = 0.047). For early tumor (T)1/T2 tumors and T4 tumors, END did not independently improve 5-year survival. However, for T3 disease, END significantly reduced the 5-year hazard of death in MS-SCC (HR = 0.471, 95% CI = 0.261-0.680, P = 0.001), regardless of other covariates, including adjuvant radiation. There has been an increase in the percentage of MS-SCC surgeries that have been accompanied by END since SEER started collecting this data, although this did not demonstrate significance (R2 = 0.622).


CONCLUSION
END improves disease-specific survival in patients with MS-SCC size > 4 cm and advanced T-stage (American Joint Committee on Cancer AJCC TIII). Therefore, surgeons performing maxillectomies should consider conducting an END concurrent with maxillectomy for those with size > 4 cm advanced stage cancer.


LEVEL OF EVIDENCE
4. Laryngoscope, 2017.",United States,The Laryngoscope,29193120,2017,The role of elective neck dissection in the treatment of maxillary sinus squamous cell carcinoma.,n
725,"Recent studies on post-fire tree mortality suggest a role for heat-induced alterations of the hydraulic system. We analyzed heat effects on xylem hydraulics both in the laboratory and at a forest site hit by fire. Stem vulnerability to drought-induced embolism and hydraulic conductivity were measured in Picea abies, Pinus sylvestris and Fagus sylvatica. Control branches were compared with samples experimentally exposed to 90Â°C or damaged by a natural forest fire. In addition, xylem anatomical changes were examined microscopically. Experimental heating caused structural changes in the xylem and increased vulnerability in all species. The largest shifts in vulnerability thresholds (1.3Â MPa) were observed in P.Â sylvestris. F.Â sylvatica also showed heat-induced reductions (49%) in hydraulic conductivity. At the field site, increased vulnerability was observed in damaged branches of P.Â sylvestris and F.Â sylvatica, and the xylem of F.Â sylvatica was 39% less conductive in damaged than in undamaged branches. These results provide evidence for heat-induced impairment of tree hydraulics after fire. The effects recorded at the forest fire site corresponded to those obtained in laboratory experiments, and revealed pronounced hydraulic risks in P.Â sylvestris and F.Â sylvatica. Knowledge of species-specific hydraulic impairments induced by fire and heat is a prerequisite for accurate estimation of post-fire mortality risks.",England,The New phytologist,29193122,2017,"Post-fire effects in xylem hydraulics of Picea abies, Pinus sylvestris and Fagus sylvatica.",n
726,"Gefitinib is a selective inhibitor of epidermal growth factor receptor (EGFR) tyrosine kinase and is used for the treatment of non-small-cell lung cancer (NSCLC) with activating EGFR mutations. Gefitinib is metabolized by CYP2D6 and CYP3A4. This analysis compared the systemic exposure of gefitinib after oral administration in CYP2D6 ultrarapid metabolizers (UM) vs extensive metabolizers (EM). Physiologically based pharmacokinetic (PBPK) modeling was conducted using a population-based simulator. The model was calibrated using itraconazole-gefitinib clinical drug-drug interaction data and validated with gefitinib data in CYP2D6 EM vs poor metabolizers (PM). System components of the PBPK model were evaluated using published clinical metoprolol pharmacokinetic data in CYP2D6 UM, EM, and PM. Our PBPK model predicted a gefitinib geometric least-squares mean area under the plasma concentration-time curve (AUC) from time 0 to 264 hours (AUC(0-264) ) ratio in the presence vs absence of itraconazole of 1.85, similar to the ratio of 1.78 from clinical study data. Predicted and observed metoprolol geometric least-squares mean AUC(0-24) ratios in UM vs EM were also similar (0.46 and 0.55, respectively), suggesting that system components related to CYP2D6 in the PBPK model were properly established. In addition, the PBPK model also captured gefitinib pharmacokinetic profiles in CYP2D6 polymorphic populations. The final PBPK model predicted a decrease in gefitinib AUC of âˆ¼39% in CYP2D6 UM vs EM. Such changes in exposure will have limited impact as the reduced exposure is still above gefitinib's in vitro IC90 for EGFR activating mutations in NSCLC patients.",England,Journal of clinical pharmacology,29193123,2017,Physiologically Based Pharmacokinetic Modeling to Evaluate the Systemic Exposure of Gefitinib in CYP2D6 Ultrarapid Metabolizers and Extensive Metabolizers.,n
727,"BACKGROUND
Benzo[a]pyrene (BaP), a potent mutagen and carcinogen, is reported to be present in processed meat products and, in particular, in smoked meat. However, few methods exist for predictive determining the BaP content of smoked meats such as sausage. In this study, we used an artificial neural network (ANN) model based on the back-propagation (BP) algorithm to predict the BaP content of smoked sausage.


RESULTS
The results showed that the BP network based on the Levenberg-Marquardt algorithm was the best suited for creating a nonlinear map between the input and output parameters. The optimal network structure was 3-7-1 and the learning rate was 0.6. This BP-ANN model allowed for accurate predictions, with the correlation coefficients (R) for the experimentally determined training, validation, testing, and global data sets being 0.94, 0.96, 0.95, and 0.95 respectively. The validation performance was 0.013, suggesting that the proposed BP-ANN may be used to predictively detect the BaP content of smoked meat products.


CONCLUSION
Effective predictive models was constructed for the estimation of BaP content of smoked sausage using ANN modeling techniques, which shows potential to predict BaP content in smoked sausage.",England,Journal of the science of food and agriculture,29193124,2017,Prediction of benzo[a]pyrene content of smoked sausage using back-propagation artificial neural network.,n
728,"Elevated tropospheric ozone (O3 ) concentration has been shown to affect many aspects of plant performance including detrimental effects on leaf photosynthesis and plant growth. However, it is not known whether such changes are accompanied by concomitant responses in plant hydraulic architecture and water relations, which would have great implications for plant growth and survival in face of unfavorable water conditions. A soybean (Glycine max (L.) Merr.) cultivar commonly used in Northeast China was exposed to non-filtered air (NF, averaged 24.0 nl l-1 ) and elevated O3 concentrations (eO3 , 40 nl l-1 supplied with NF air) in six open-top chambers for 50 days. The eO3 treatment resulted in a significant decrease in whole-plant hydraulic conductance that is mainly attributable to the reduced hydraulic conductance of the root system and the leaflets, while stem and leaf petiole hydraulic conductance showed no significant response to eO3 . Stomatal conductance of plants grown under eO3 was lower during mid-morning but significantly higher at midday, which resulted in substantially more negative daily minimum water potentials. Moreover, excised leaves from the eO3 treated plants showed significantly higher rates of water loss, suggesting a lower ability to withhold water when water supply is impeded. Our results indicate that, besides the direct detrimental effects of eO3 on photosynthetic carbon assimilation, its influences on hydraulic architecture and water relations may also negatively affect O3 -sensitive crops by deteriorating the detrimental effects of unfavorable water conditions.",Denmark,Physiologia plantarum,29193125,2017,Elevated ozone concentration decreases whole-plant hydraulic conductance and disturbs water use regulation in soybean plants.,n
729,"The pharmacokinetics (PK) and pharmacodynamics (PD) of proton pump inhibitors differ among cytochrome P450 (CYP) 2C19 genotypes. Therefore, we developed azeloprazole sodium (Z-215), a novel proton pump inhibitor, whose metabolism is not affected by CYP2C19 activity in vitro. However, the PK and PD of azeloprazole sodium have not been evaluated in Japanese subjects. We conducted an open-label, crossover study in healthy Japanese male volunteers to evaluate the plasma concentration and intragastric pH with respect to CYP2C19 genotype after repeated administration of 10, 20, and 40Â mg azeloprazole sodium and 10 and 20 mg rabeprazole sodium (rabeprazole). The plasma concentration profile of azeloprazole sodium was similar among genotypes, whereas that of rabeprazole differed. The 24-hour intragastric pHÂ â‰¥Â 4 holding time ratio (pHÂ â‰¥Â 4 HTR) of azeloprazole sodium was similar among genotypes. The pHÂ â‰¥Â 4 HTR was 52.5%-60.3%, 55.1%-65.8%, and 69.4%-77.1% after administration of 10, 20, and 40Â mg azeloprazole sodium, respectively, and 59.2%-72.3% and 64.4%-91.2% after administration of 10 and 20Â mg rabeprazole, respectively, on the fifth day of dosing. The maximum plasma concentration (Cmax ), area under the plasma concentration-time curve (AUC), and pHÂ â‰¥Â 4 HTR of azeloprazole sodium were proportional to dose. The Cmax , AUC, and pHÂ â‰¥Â 4 HTR on day 5 were slightly higher following administration of 20Â mg azeloprazole sodium before comparison with after a meal. No serious adverse events were observed. These results suggest that azeloprazole sodium is useful for treating gastroesophageal reflux disease in all CYP2C19 genotypes.",England,Journal of clinical pharmacology,29193126,2017,"Pharmacokinetics and Pharmacodynamics of Azeloprazole Sodium, a Novel Proton Pump Inhibitor, in Healthy Japanese Volunteers.",n
730,"BACKGROUND
Previous studies showed controversial results for the influence of pregnancy-related and perinatal factors on subsequent respiratory and atopic diseases in children. The aim of this study was to assess the association between perinatal variables and the prevalence of asthma, bronchial hyperreactivity, flexural eczema, allergic rhinitis, and sensitization in childhood and early adulthood.


METHODS
The studied population was first examined in Munich and Dresden in 1995/1996 at age 9-11 yrs. Participants were followed until age 19-24 yrs. using questionnaires and clinical examinations. Associations between perinatal data and subsequent atopic diseases were examined using logistic regression analyses adjusting for potential confounders.


RESULTS
Cesarean section was statistically significantly associated with BHR in early adulthood (Odds Ratio 4.8, 95% confidence interval 1.5-15.2), while assisted birth was associated with presence of asthma symptoms in childhood (2.2, 1.2-3.9), flexural eczema symptoms (2.2, 1.2-4.3) and doctor's diagnosis of atopic dermatitis (1.9, 1.0-3.4) in childhood, and sensitization in early adulthood (2.2, 1.1-4.3). Lower birth length (1.9, 1.1-3.2), lower birth weight (0.5, 0.3-0.9) and higher birth weight (0.6 (0.4-1.0)) were predictive of sensitization in early adulthood compared to average birth length and birth weight, respectively. None of the other perinatal factors showed statistically significant associations with the outcomes.


CONCLUSIONS
Our results indicate that children, who are born by Cesarean section and especially by assisted birth, might be at greater risk for developing asthma, flexural eczema and sensitization and should hence be monitored. Prenatal maternal stress might partly explain these associations, which should be further investigated. This article is protected by copyright. All rights reserved.",Denmark,Allergy,29193127,2017,Pregnancy and perinatal conditions and atopic disease prevalence in childhood and adulthood.,n
731,"Transfusion-transmitted infection risk remains an enduring challenge to blood safety in Africa. A high background incidence and prevalence of the major transfusion-transmitted infections (TTIs), dependence on high-risk donors to meet demand, suboptimal testing and quality assurance collectively contribute to the increased risk. With few exceptions, donor testing is confined to serological evaluation of human immunodeficiency virus (HIV), hepatitis B and C (HBV and HCV) and syphilis. Barriers to implementation of broader molecular methods include cost, limited infrastructure and lack of technical expertise. Pathogen reduction (PR), a term used to describe a variety of methods (e.g. solvent detergent treatment or photochemical activation) that may be applied to blood following collection, offers the means to diminish the infectious potential of multiple pathogens simultaneously. This is effective against different classes of pathogen, including the major TTIs where laboratory screening is already implemented (e.g. HIV, HBV and HCV) as well pathogens that are widely endemic yet remain unaddressed (e.g. malaria, bacterial contamination). We sought to review the available and emerging PR techniques and their potential application to resource-constrained parts of Africa, focusing on the advantages and disadvantages of such technologies. PR has been slow to be adopted even in high-income countries, primarily given the high costs of use. Logistical considerations, particularly in low-resourced parts of Africa, also raise concerns about practicality. Nonetheless, PR offers a rational, innovative strategy to contend with TTIs; technologies in development may well present a viable complement or even alternative to targeted screening in the future.",England,Vox sanguinis,29193128,2017,"Pathogen reduction and blood transfusion safety in Africa: strengths, limitations and challenges of implementation in low-resource settings.",n
732,"PURPOSE
To study the feasibility of a task-based framework composed of an anthropomorphic breast phantom and mathematical model observers (MOs) for the evaluation of system-processed mammographic images.


METHODS
A prototype anthropomorphic breast phantom with inserted gold discs of 0.1 mm and 0.25 mm diameter was imaged with two digital mammography systems (system A and B) at four different dose levels. From the acquired processed and unprocessed images, signal-present and signal-absent regions of interest (ROIs) were extracted. The ROIs were evaluated by a non-pre-whitening MO with eye filter (NPWE) and by three human observers in a two-alternative forced-choice experiment. We compared the human and the MO performance on a simple detection task of the calcification-like discs in ROIs with and without post-processing. Proportion of correct responses of the human (PCH ) and NPWE (PCNPWE ) experiments were calculated and the correlation between the two was analyzed using a mixed-effect regression model. Correlation results including the goodness of fit (r2 ) of PCH and PCNPWE for all different parameters investigated were evaluated to determine whether NPWE MO can be used to predict human observer performance.


RESULTS
PCH and PCNPWE increased with dose for all conditions investigated (signal size, processing status, and different system). In case of the 0.1 mm discs, for system A, r2 between PCH with PCNPWE was 0.81. For system B, r2 was 0.93. In case of the 0.25 mm discs, r2 in system A was 0.79 and for system B, r2 was 0.82. For the combined parameters investigated, and after excluding the 0.1 mm discs on system A because the results were influenced by aliasing, the overall r2 was 0.81. Image processing did not affect the detectability of calcification-like signals. No significant difference (p>0.05) was found between the predicted PCH(pred) by the MO and the PCH for all different conditions.


CONCLUSIONS
The framework seems promising to be used in objective image quality assessment. It was found to be relatively robust for the range of parameters investigated. However, further optimization of the anthropomorphic breast phantom and investigation of other MOs for a broader range of image quality assessment tasks is needed. This article is protected by copyright. All rights reserved.",United States,Medical physics,29193129,2017,A model observer study using acquired mammographic images of an anthropomorphic breast phantom.,n
733,"BACKGROUND
Life-threatening situations requiring blood transfusion under extreme conditions or in remote and austere locations, such as the battlefield or in traffic accidents, would benefit from reliable blood typing practices that are easily understood by a nonscientist or nonlaboratory technician and provide quick results.


STUDY DESIGN AND METHODS
A simplified protocol was developed for the lateral flow-based device MDmulticard ABO-D-Rh subgroups-K. Its performance was compared to a reference method (PK7300, Beckman Coulter) in native blood samples from donors. The method was tested on blood samples stressed in vitro as a model of hemorrhage cases (through hemodilution using physiologic serum) and dehydration (through hemoconcentration by removing an aliquot of plasma after centrifugation), respectively.


RESULTS
A total of 146 tests were performed on 52 samples; 126 in the hemodilution group (42 for each native, diluted 1/2, and diluted 1/4 samples) and 20 in the hemoconcentration group (10 for each native and 10% concentrated samples). Hematocrit in the tested samples ranged from 9.8% to 57.6% while hemoglobin levels ranged from 3.2 to 20.1Â g/dL. The phenotype profile detected with the MDmulticard using the simplified protocol resulted in 22 A, seven B, 20 O, and three AB, of which nine were D- and five were Kell positive. No discrepancies were found with respect to the results obtained with the reference method.


CONCLUSION
The simplified protocol for MDmulticard use could be considered a reliable method for blood typing in extreme environment or emergency situations, worsened by red blood cell dilution or concentration.",United States,Transfusion,29193130,2017,Evaluation of a lateral flow-based technology card for blood typing using a simplified protocol in a model of extreme blood sampling conditions.,n
739,"BACKGROUND
Intravenous immunoglobulins (IVIG) are a biologic product originally developed to treat immunocompromised patients. In the past decades, there has been increased utilization of IVIG in autoimmune conditions. The objectives were to evaluate the clinical use of IVIG in the largest tertiary medical center in Israel and to determine top uses, estimate off-label usage, and assess consumption of this blood product.


STUDY DESIGN AND METHODS
We conducted an observational, retrospective study involving all patients who received IVIG from 2007 through 2015. Subjects were classified into five groups according to the indication for treatment.


RESULTS
A total of 1117 patients were identified. The mean (Â±SD) ages of adults and children were 55â€‰Â±â€‰17 and 8â€‰Â±â€‰7 years, respectively. Most common indication for treatment were immune-mediated conditions (54%), followed by secondary immunodeficiency (28%), primary immunodeficiency (10%), infections (4%), and miscellaneous (4%). The main immune-mediated conditions treated were hematologic disorders (305 patients, 27%), neurologic disorders (219 patients, 20%), and rheumatologic conditions (79 patients, 7%). Overall, a significant change in study period was observed in the number of patients (pâ€‰<â€‰0.001), consumption of IVIG (pâ€‰<â€‰0.01), and amount of IVIG administered per patient (pâ€‰<â€‰0.01). Fifty-six percent of the IVIG infusions were given for off-label Food and Drug Administration (FDA) indications.


CONCLUSION
In this study, we demonstrated that immune-mediated conditions represent the majority of indications for treatment with IVIG. We observed a 417% increase in IVIG administration (g) over time, attributed mainly to autoimmune diseases. Many indications are still off-label according to FDA recommendations.",United States,Transfusion,29193136,2017,Clinical indications for intravenous immunoglobulin utilization in a tertiary medical center: a 9-year retrospective study.,n
740,"We report the pathological, immunohistochemical, and molecular features of fatal acute systemic toxoplasmosis in an adult, female, free-living southern muriqui (Brachyteles arachnoides) from SÃ£o Paulo state, Brazil. PCR-RFLP genotyping analysis identified the #21 genotype of Toxoplasma gondii. This represents the first report of acute toxoplasmosis involving this genotype in humans and animals.",Denmark,Journal of medical primatology,29193137,2017,"Fatal toxoplasmosis in a southern muriqui (Brachyteles arachnoides) from SÃ£o Paulo state, Brazil: Pathological, immunohistochemical, and molecular characterization.",n
