,abstract,pmid,pubdate,title
2128,"BACKGROUND
The cognitive-behavioral model of problematic Internet use (PIU) proposes that psychological well-being is associated with specific thoughts and behaviors on the Internet. Hence, there is growing concern that PIU is associated with psychological impairments.


OBJECTIVE
Given the proposal of gender schema theory and social role theory, men and women are predisposed to experience social anxiety and engage in Internet use differently. Thus, an investigation of gender differences in these areas is warranted. According to the cognitive-behavioral model of PIU, social anxiety is associated with specific cognitions and behaviors on the Internet. Thus, an investigation of the association between social anxiety and PIU is essential. In addition, research that takes into account the multidimensional nature of social anxiety and PIU is lacking. Therefore, this study aimed to explore multivariate gender differences in and the relationships between social anxiety and PIU.


METHODS
Participants included 505 college students, of whom 241 (47.7%) were women and 264 (52.3%) were men. Participants' ages ranged from 18 to 22 years, with a mean age of 20.34 (SD=1.16). The Social Anxiety Scale and Problematic Internet Use Scale were used in data collection. Multivariate analysis of variance (MANOVA) and canonical correlation analysis were used.


RESULTS
Mean differences between men and women were not statistically significant in social anxiety (λ=.02, F3,501=2.47, P=.06). In all three PIU dimensions, men scored higher than women, and MANOVA shows that multivariate difference was statistically significant (λ=.94, F3,501=10.69, P<.001). Of the canonical correlation functions computed for men, only the first was significant (Rc=.43, λ=.78, χ29=64.7, P<.001) and accounted for 19% of the overlapping variance. Similarly, only the first canonical function was significant for women (Rc=.36, λ=.87, χ29=33.9, P<.001), which accounted for 13% of the overlapping variance.


CONCLUSIONS
On the basis of the findings, we conclude that enhanced educational opportunities for women and their increasing role in the society have led women to become more active and thus closed the gap in social anxiety levels between men and women. We found that men showed more difficulties than women in terms of running away from personal problems (ie, social benefit), used the Internet more excessively, and experienced more interpersonal problems with significant others due to Internet use. We conclude that men are under a greater risk of social impairments due to PIU. Our overall conclusion is that there is a substantial amount of association between social anxiety and PIU and the association is stronger for men than it is for women. We advise that future research continue to investigate PIU and social anxiety as multidimensional constructs.",29367182,2018,Gender Differences in and the Relationships Between Social Anxiety and Problematic Internet Use: Canonical Analysis.
2145,"The current study investigated behavioral and neuroimaging evidence for orthographic influences on auditory word identification. To assess such influences, the proportion of similar sounding words (i.e. phonological neighbors) that were also spelled similarly (i.e., orthographic neighbors) was computed for each auditorily presented word as the Orthographic-to-Phonological Overlap Ratio (OPOR). Speech intelligibility was manipulated by presenting monosyllabic words in multi-talker babble at two signal-to-noise ratios: + 3 and + 10 dB SNR. Identification rates were lower for high overlap words in the challenging + 3 dB SNR condition. In addition, BOLD contrast increased with OPOR at the more difficult SNR, and decreased with OPOR under more favorable SNR conditions. Both voxel-based and region of interest analyses demonstrated robust effects of OPOR in several cingulo-opercular regions. However, contrary to prior theoretical accounts, no task-related activity was observed in posterior regions associated with phonological or orthographic processing. We suggest that, when processing is difficult, orthographic-to-phonological feature overlap increases the availability of competing responses, which then requires additional support from domain general performance systems in order to produce a single response.",29371094,2018,Orthographic influence on spoken word identification: Behavioral and fMRI evidence.
2151,"Typically developing infants rapidly acquire a sophisticated array of social skills within the first year of life. These social skills are largely learned within the context of day-to-day interactions with caregivers. While social neuroscience has made great gains in our knowledge of the underlying neural circuitry of social cognition and behavior, much of this work has focused on experiments that sacrifice ecological validity for experimental control. Functional near-infrared spectroscopy (fNIRS) is a promising methodology for measuring brain activity in the context of naturalistic social interactions. Here, we review what we have learned from fNIRS studies that have used traditional experimental stimuli to study social development during infancy. We then discuss recent infant fNIRS studies that have utilized more naturalistic social stimuli, followed by a discussion of applications of this methodology to the study of atypical social development, with a focus on infants at risk for autism spectrum disorder. We end with recommendations for applying fNIRS to studies of typically developing and at-risk infants in naturalistic social situations.",29371139,2018,The infant brain in the social world: Moving toward interactive social neuroscience with functional near-infrared spectroscopy.
2152,"In this study, we reported a redox-responsive drug delivery system (DDS) based on heparosan and deoxycholic acid conjugates (HSDs) for effective treatment of laryngopharyngeal carcinoma. The amphiphilic HSDs can self-assemble into stable nanoscale micelles in aqueous medium with favorable drug loading capacity for doxorubicin (DOX). The HSD micelles can exhibit glutathione (GSH)-triggered drug release behavior and reach a nearly 100% release rate in a high GSH level (10 mM) environment. Moreover, FaDu cancer cells can internalize HSD micelles by clathrin-mediated endocytosis, which is energy dependent, fast, and effective. The DOX@HSD induced inhibition of FaDu cancer cells can achieve a minimum of 10-fold selectivity relative to that of COS-7 normal cells. Overall, the redox-responsive DDSs show good biocompatibility and are promising in the clinical treatment of laryngopharyngeal carcinoma.",29371149,2018,Redox-responsive micelles for triggered drug delivery and effective laryngopharyngeal cancer therapy.
2163,"Measuring temporal discounting through the use of intertemporal choice tasks is now the gold standard method for quantifying human choice impulsivity (impatience) in neuroscience, psychology, behavioral economics, public health and computational psychiatry. A recent area of growing interest is individual differences in discounting levels, as these may predispose to (or protect from) mental health disorders, addictive behaviors, and other diseases. At the same time, more and more studies have been dedicated to the quantification of individual attitudes towards risk, which have been measured in many clinical and non-clinical populations using closely related techniques. Economists have pointed to interactions between measurements of time preferences and risk preferences that may distort estimations of the discount rate. However, although becoming standard practice in economics, discount rates and risk preferences are rarely measured simultaneously in the same subjects in other fields, and the magnitude of the imposed distortion is unknown in the assessment of individual differences. Here, we show that standard models of temporal discounting -such as a hyperbolic discounting model widely present in the literature which fails to account for risk attitudes in the estimation of discount rates- result in a large and systematic pattern of bias in estimated discounting parameters. This can lead to the spurious attribution of differences in impulsivity between individuals when in fact differences in risk attitudes account for observed behavioral differences. We advance a model which, when applied to standard choice tasks typically used in psychology and neuroscience, provides both a better fit to the data and successfully de-correlates risk and impulsivity parameters. This results in measures that are more accurate and thus of greater utility to the many fields interested in individual differences in impulsivity.",29373590,2018,Risk preferences impose a hidden distortion on measures of choice impulsivity.
2166,"Smokers who inaccurately believe that FDA evaluates cigarettes for safety hold lower harm perceptions of cigarettes compared to those who do not hold this belief. However, not much is known about associations between beliefs about FDA tobacco regulatory authority and comparative harm perceptions of tobacco products. Data were analyzed from the Health Information National Trends Survey, HINTS-FDA 2015 (N = 3738), which is a cross-sectional, probability-based, nationally representative survey of U.S. non-institutionalized civilian adults aged 18 years or older. Weighted multinomial and logistic regression analyses regressed comparative harm perceptions on sociodemographic factors, beliefs about FDA regulatory authority, perceptions of FDA credibility, and beliefs about modifiability of cancer risk (behavioral cancer causal beliefs and cancer fatalism). Findings indicate that, compared to non-users, current tobacco users are more likely to report believing that e-cigarettes are less harmful than cigarettes, to report believing that some cigarette types may be less harmful than others, and to report believing that tobacco products are safer now than they were five years ago. Awareness of FDA regulatory authority was associated with reporting the belief that tobacco products are safer now than five years ago, that e-cigarettes are less harmful than cigarettes, and that some cigarette types are less harmful than other cigarette types. Believing behavior as a cause of cancer and endorsing cancer fatalism were associated with uncertainty of comparative harm perceptions. Communication efforts can help target inaccurate beliefs by raising awareness about regulation of tobacco products as well as the risks of tobacco products.",29373819,2018,"Beliefs about FDA tobacco regulation, modifiability of cancer risk, and tobacco product comparative harm perceptions: Findings from the HINTS-FDA 2015."
2173,"BACKGROUND
Chronic conditions in the United States are among the most costly and preventable of all health problems. Research suggests health coaching is an effective strategy for reducing health risks including decreases in weight, blood pressure, lipids, and blood glucose. Much less is known about how and when coaching works.


OBJECTIVE
The aim of this study was to conduct an analysis of intrapersonal variations in participants' progression in health coaching, examining gender and age-related differences.


METHODS
This was a cross-sectional, retrospective analysis of 35,333 health coaching participants between 2012 and 2016. Differences in number of goals and activities set and completed, and number of interactions were assessed using negative binomial models. Differences in goal type were assessed using logistic regression for gender and using the Welch test for age to account for unequal variances.


RESULTS
Participants choosing online coaching were more likely to be younger and female (P<.001). Gender and age differences were found for the types of goals set by participants. Regarding program activity, women set and completed 12% more action steps than men (P<.001), averaging 21% more interactions than men (P<.001); no gender differences were found in number of goals completed (P=.12), although the percentage of males and females completing goals was significantly different at 60 and 120 days postenrollment (P<.001). Results indicated significant age-related differences in all aspects of program activity: number of interactions, goals set and completed, action steps set and completed (all P values <.01), as well as significant differences in percentage of individuals completing initial goals within 30 days, with older individuals completing more than younger individuals did (all P values <.001).


CONCLUSIONS
This study found significant intrapersonal variation in how people participate in and progress through a coaching program. Age-related variations were found in all aspects of coaching activity, from modality preference and initial choice of goal type (eg, weight management, tobacco cessation) to goal completion, whereas gender-related differences were demonstrated for all program activities except number of goals set and completed. These findings indicate that to maximize behavior change, coaches need to personalize the coaching experience to the individual.",29374005,2018,Intrapersonal Variation in Goal Setting and Achievement in Health Coaching: Cross-Sectional Retrospective Analysis.
2182,"Parkinson's disease (PD) is a neurodegenerative disorder marked by severe motor deficits and reduced striatal dopamine levels. PD patients also commonly exhibit cognitive flexibility impairments, e.g., probabilistic reversal learning deficits that limit daily living. However, less is known about how decreased striatal dopamine signaling affects cognitive flexibility. Past studies indicate that the rat dorsomedial striatum is a striatal subregion that supports cognitive flexibility. Because PD patients exhibit probabilistic reversal learning deficits, the present experiment investigated whether the neurotoxin 6-hydroxydopamine (6-OHDA) injected into the dorsomedial striatum of male Long-Evans rats affects the acquisition and/or reversal learning of a spatial discrimination using a probabilistic learning procedure (80/20). Behavioral testing was conducted in a cross maze that occurred across two consecutive days. Rats with 6-OHDA lesions were not impaired on acquisition, but were impaired in reversal learning compared to that of sham controls. In reversal learning, dorsomedial striatal dopamine depletion led to initial perseveration of the previously correct choice pattern, as well as an impairment in maintaining the new choice pattern after initially selected (regressive errors). A 6-OHDA lesion in the dorsomedial striatum also significantly increased 'lose-shift' probabilities in reversal learning suggesting that reduced dopamine signaling in this striatal area increased sensitivity to negative feedback ultimately impairing the maintenance of a new response pattern. Overall, the findings suggest that dopamine reduction in this striatal subregion can serve as a useful model to test novel treatments for ameliorating cognitive flexibility deficits in PD.",29374536,2018,Cognitive Flexibility Deficits Following 6-OHDA Lesions of the Rat Dorsomedial Striatum.
2183,"Among insects, Hymenoptera present a striking olfactory system with a clear neural dichotomy from the periphery to higher order centers, based on two main tracts of second-order (projection) neurons: the medial and lateral antennal lobe tracts (m-ALT and l-ALT). Despite substantial work on this dual pathway, its exact function is yet unclear. Here, we ask how attributes of odor quality and odor quantity are represented in the projection neurons (PNs) of the two pathways. Using in vivo calcium imaging, we compared the responses of m-ALT and l-ALT PNs of the honey bee Apis mellifera to a panel of 16 aliphatic odorants, and to three chosen odorants at eight concentrations. The results show that each pathway conveys differential information about odorants' chemical features or concentration to higher order centers. While the l-ALT primarily conveys information about odorants' chain length, the m-ALT informs about odorants' functional group. Furthermore, each tract can only predict chemical distances or bees' behavioral responses for odorants that differ according to its main feature, chain length or functional group. Generally l-ALT neurons displayed more graded dose-response relationships than m-ALT neurons, with a correspondingly smoother progression of inter-odor distances with increasing concentration. Comparison of these results with previous data recorded at AL input reveals differential processing by local networks within the two pathways. These results support the existence of parallel processing of odorant features in the insect brain.",29374539,2018,Differential Processing by Two Olfactory Subsystems in the Honeybee Brain.
2187,"In this work we described the rheological properties of polysaccharides (HBSS, CHSS, DASS, CASS) sequentially extracted from onion (Allium cepa L.). Four onion polysaccharides (ACLPs) solutions resulted into significant differences on their rheological properties. ACLPs solutions showed non-Newtonian shear-thinning behavior over the range of 0.5-2.5%. At concentration of 1%, the apparent viscosity of CHSS was observed to be the highest. The apparent viscosity of ACLPs solutions decreased with the acidic pH (4.0) or alkaline pH (10.0) which was further declined at higher temperature (90 °C). After the addition of various salts, ACLPs had apparent differences on apparent viscosity. The G' (storage modulus) and G″ (loss modulus) of ACLP solutions were increased with increasing oscillation frequency. Moreover, the crossover value of oscillation frequency gradually decreased with increasing concentration of ACLPs. Our results exhibited that among the ACLPs, CHSS can be used as supplements in the food industry as thickening agent, gelling agent and stabilizer.",29374565,2018,Effects of extraction methods on the rheological properties of polysaccharides from onion (Allium cepa L.).
2196,"Efficient neural processing depends on regulating responses through suppression and facilitation of neural activity. Utilizing a well-known visual motion paradigm that evokes behavioral suppression and facilitation, and combining five different methodologies (behavioral psychophysics, computational modeling, functional MRI, pharmacology, and magnetic resonance spectroscopy), we provide evidence that challenges commonly held assumptions about the neural processes underlying suppression and facilitation. We show that: (1) both suppression and facilitation can emerge from a single, computational principle - divisive normalization; there is no need to invoke separate neural mechanisms, (2) neural suppression and facilitation in the motion-selective area MT mirror perception, but strong suppression also occurs in earlier visual areas, and (3) suppression is not primarily driven by GABA-mediated inhibition. Thus, while commonly used spatial suppression paradigms may provide insight into neural response magnitudes in visual areas, they should not be used to infer neural inhibition.",29376822,2018,Suppression and facilitation of human neural responses.
2198,"Synesthesia is associated with additional perceptual experiences, which are automatically and consistently triggered by specific inducing stimuli. Synesthesia is also accompanied by more general sensory and cortical changes, including enhanced modality-specific cortical excitability. Extensive cognitive training has been shown to generate synesthesia-like phenomenology but whether these experiences are accompanied by neurophysiological changes characteristic of synesthesia remains unknown. Addressing this question provides a unique opportunity to elucidate the neural basis of perceptual plasticity relevant to conscious experiences. Here we investigate whether extensive training of letter-color associations leads not only to synesthetic experiences, but also to changes in cortical excitability. We confirm that overtraining synesthetic associations results in synesthetic phenomenology. Stroop tasks further reveal synesthesia-like performance following training. Electroencephalography and transcranial magnetic stimulation show, respectively, enhanced visual evoked potentials (in response to untrained patterns) and lower phosphene thresholds, demonstrating specific cortical changes. An active (using letter-symbol training) and a passive control confirmed these results were due to letter-color training and not simply to repeated testing. Summarizing, we demonstrate specific cortical changes, following training-induced acquisition of synesthetic phenomenology that are characteristic of genuine synesthesia. Collectively, our data reveal dramatic plasticity in human visual perception, expressed through a coordinated set of behavioral, neurophysiological, and phenomenological changes.",29378205,2018,"Coordinated neural, behavioral, and phenomenological changes in perceptual plasticity through overtraining of synesthetic associations."
2210,"Affective states, such as anticipatory anxiety, critically influence speech communication behavior in adults who stutter. However, there is currently little evidence regarding the involvement of the limbic system in speech disfluency during interpersonal communication. We designed this neuroimaging study and experimental procedure to sample neural activity during interpersonal communication between human participants, and to investigate the relationship between the amygdala activity and speech disfluency. Participants were required to engage in live communication with a stranger of the opposite sex in the MRI scanner environment. In the gaze condition, the stranger gazed at the participant without speaking, while in the live conversation condition, the stranger asked questions that the participant was required to answer. The stranger continued to gaze silently at the participant while the participant answered. Adults who stutter reported significantly higher discomfort than fluent controls during the experiment. Activity in the right amygdala, a key anatomical region in the limbic system involved in emotion, was significantly correlated with stuttering occurrences in adults who stutter. Right amygdala activity from pooled data of all participants also showed a significant correlation with discomfort level during the experiment. Activity in the prefrontal cortex, which forms emotion regulation neural circuitry with the amygdala, was decreased in adults who stutter than in fluent controls. This is the first study to demonstrate that amygdala activity during interpersonal communication is involved in disfluent speech in adults who stutter.",29378280,2018,Speech Disfluency-dependent Amygdala Activity in Adults Who Stutter: Neuroimaging of Interpersonal Communication in MRI Scanner Environment.
2213,"OBJECTIVE
Adult picky eating (PE) has received increased attention in the eating behavior literature due to its important association with adult avoidant-restrictive food intake disorder (ARFID). The current study tested a model of potential risk factors of adult PE behavior, including perceived early parental feeding practices. An exploratory model was also utilized to understand associations with different aspects of adult PE behaviors.


METHODS
A sample of 1339 US adults recruited through Amazon's MTurk completed an online survey that included the recently developed Adult Picky Eating Questionnaire (APEQ), retrospective reports of parental feeding practices, and other measures of eating behavior and demographic variables. A structural equation modeling procedure tested a series of regression models that included BMI and disordered eating behaviors as covariates.


RESULTS
SEM modeling indicated that retrospective reports of greater parental pressure to eat, higher disgust sensitivity, lower PE age of onset, and experiencing an aversive food event were associated with general adult PE behavior. Results also indicated parental encouragement of healthy eating may be a protective factor, and that men endorsed higher levels of adult PE. Exploratory analyses indicated that cross-sectional predictors and covariates were differentially related to specific aspects of PE as measured by the APEQ subscales.


CONCLUSIONS
Early experiences, including parental approaches to feeding, appear to be potential risk factors of PE behavior in adults. A nuanced understanding of adult PE is important for the prevention and treatment of severe PE behaviors, related psychosocial impairment, and ARFID.",29378295,2018,A multidimensional approach to understanding the potential risk factors and covariates of adult picky eating.
2216,"Sleep deprivation (SD) has been associated with cognitive and emotional disruptions, however its impact on the acquisition of fear and subsequent fear memory consolidation remain unknown. To address this question, we measured human brain activity before and after fear acquisition under conditions of 24 h sleep deprivation versus normal sleep using resting-state functional magnetic resonance imaging (rs-fMRI). Additionally, we explored whether the fear acquisition-induced change of brain activity during the fear memory consolidation window can be predicted by subjective fear ratings and autonomic fear response, assessed by skin conductance responses (SCR) during acquisition. Behaviorally, the SD group demonstrated increased subjective and autonomic fear responses compared to controls at the stage of fear acquisition. During the stage of fear consolidation, the SD group displayed decreased ventromedial prefrontal cortex (vmPFC) activity and concomitantly increased amygdala activity. Moreover, in the SD group fear acquisition-induced brain activity changes in amygdala were positively correlated with both, subjective and autonomic fear indices during acquisition, whereas in controls changes vmPFC activity were positively correlated with fear indices during acquisition. Together, the present findings suggested that SD may weaken the top-down ability of the vmPFC to regulate amygdala activity during fear memory consolidation. Moreover, subjective and objective fear at fear acquisition stage can predict the change of brain activity in amygdala in fear memory consolidation following SD.",29378319,2018,Alter spontaneous activity in amygdala and vmPFC during fear consolidation following 24 h sleep deprivation.
2220,"BACKGROUND
Increased availability of maternal health services alone does not lead to better outcomes for maternal health.The services need to be utilized first.One way to increase service utilization is to plan responsive health care services by taking into account the community's views or expressed needs. Burundi has a high maternal mortality ratio, and despite improvements in health infrastructure, skilled staff and the abolition of user fees for pregnant women,utilization of maternal health services remains low. Possible reasons for this include a lack of responsive healthcare services. An exploratory study was conducted in 2013 in two provinces of Burundi (Makamba and Kayanza), with the aim to collect the experiences of women and men with the maternal health services,their views regarding those services, channels used to express these experiences, and the providers' reaction.


METHODS
Semi-structured interviews were used to collect data from men and women and key informants, including community health workers, health committee members, health providers, local authorities, religious leaders and managers of non-governmental organizations. Data analysis was facilitated by MAXQDA 11 software.


RESULTS
Negative experiences with maternal health services were reported and included poor staff behavior towards women and a lack of medicine. Health committees and suggestion boxes were introduced by the government to channel the community's views. However, they are not used by the community members, who prefer to use community health workers as intermediaries. Fear of expressing oneself linked to the post-war context of Burundi, social and gender norms, and religious norms limit the expression of community members' views, especially those of women. The limited appreciation of community health workers by the providers further hampers communication and acceptance of the community's views by health providers.


CONCLUSION
In Burundi, the community voice to express views on maternal health services is encountering obstacles and needs to be strengthened,especially the women's voice. Community mobilization in the form of a mass immunization campaign day organized by women fora, and community empowerment using participatory approaches could contribute towards community voice strengthening.",29378564,2018,"""Ways and channels for voice regarding perceptions of maternal health care services within the communities of the Makamba and Kayanza provinces in the Republic of Burundi: an exploratory study""."
2222,"BACKGROUND
Women with comorbid substance use disorders are an extremely vulnerable group having an increased relative risk of negative outcomes such as incarceration, morbidity and mortality. In Sweden, women with comorbid substance use disorders may be placed in compulsory care for substance abuse treatment. Clinical intake assessment procedures are a distinct aspect of clinical practice and are a foundation upon which client motivation and continued treatment occurs.


METHOD
The current study is a naturalistic quasi-experiment and aims to assess the five-year costs and benefits of a standard intake interview versus an extended psychological and psychiatric assessment for a group of chronic substance abusing women placed in compulsory care in Sweden between 1997 and 2000. Official register data on criminal activity, healthcare use, compulsory care stays and other services was retrieved and all resources used by study participants from date of index care episode was valued. In addition, the cost of providing the intake assessment was estimated.


RESULTS
Results show that the extended assessment resulted in higher net costs over five years of between 256,000 and 557,000 SEK per person for women placed in care via the Law on Compulsory Care for Substance Abusers (LVM). Higher assessment costs made up a portion of this cost. The majority of this cost (47-57%) falls on the local municipality (social welfare) and 11.6-13.7% falls on the individual patient.


CONCLUSIONS
Solid evidence supporting the clinical utility or incremental validity of assessment for improving treatment outcomes in this setting was not confirmed.",29378568,2018,The five-year costs and benefits of extended psychological and psychiatric assessment versus standard intake interview for women with comorbid substance use disorders treated in compulsory care in Sweden.
2226,"BACKGROUND
Pediatric providers are key players in the treatment of childhood obesity, yet rates of obesity management in the primary care setting are low. The goal of this study was to examine the views of pediatric providers on conducting obesity management in the primary care setting, and identify potential resources and care models that could facilitate delivery of this care.


METHODS
A mixed methods approach was utilized. Four focus groups were conducted with providers from a large pediatric network in San Diego County. Based on a priori and emerging themes, a questionnaire was developed and administered to the larger group of providers in this network.


RESULTS
Barriers to conducting obesity management fell into four categories: provider-level/individual (e.g., lack of knowledge and confidence), practice-based/systems-level (e.g., lack of time and resources), parent-level (e.g., poor motivation and follow-up), and environmental (e.g., lack of access to resources). Solutions centered around implementing a team approach to care (with case managers and health coaches) and electronic medical record changes to include best practice guidelines, increased ease of documentation, and delivery of standardized handouts/resources. Survey results revealed only 23.8% of providers wanted to conduct behavioral management of obesity. The most requested support was the introduction of a health educator in the office to deliver a brief behavioral intervention.


CONCLUSION
While providers recognize the importance of addressing weight during a well-child visit, they do not want to conduct obesity management on their own. Future efforts to improve health outcomes for pediatric obesity should consider implementing a collaborative care approach.",29378579,2018,Provider views on childhood obesity management in primary care settings: a mixed methods analysis.
2227,"BACKGROUND
Engagement with HIV medical care is critical to successful HIV treatment and prevention efforts. However, in Ukraine, delays in the timely initiation of HIV treatment hamper viral suppression. By January 01, 2016, only 126,604 (57.5%) of the estimated 220,000 people living with HIV (PLWH) had registered for HIV care, and most (55.1%) of those who registered for HIV care in 2015 did that at a late stage of infection. In the US, Anti-Retroviral Treatment and Access to Services (ARTAS) intervention successfully linked newly diagnosed PLWH to HIV services using strengths-based case management with a linkage coordinator. To tailor the ARTAS intervention for Ukraine, we conducted a qualitative study with patients and providers to understand barriers and facilitators that influence linkage to HIV care.


METHODS
During September-October 2014, we conducted 20 in-depth interviews with HIV-positive patients and two focus groups with physicians in infectious disease, sexually transmitted infection (STI), and addiction clinics in Dnipropetrovsk Region of Ukraine. Interviews and focus groups were audio-recorded and transcribed verbatim. We translated illustrative quotes into English. We used thematic analysis for the data analysis.


RESULTS
Participants (20 patients and 14 physicians) identified multiple, mostly individual-level factors influencing HIV care initiation. Key barriers included lack of HIV knowledge, non-acceptance of HIV diagnosis, fear of HIV disclosure, lack of psychological support from health providers, and HIV stigma in community. Responsibility for one's health, health deterioration, and supportive provider communication were reported as facilitators to linkage to care. Expected benefits from the case management intervention included psychological support, HIV education, and help with navigating the segmented health system.


CONCLUSIONS
The findings from the study will be used to optimize the ARTAS for the Ukrainian context. Our findings can also support future linkage-to-care strategies in other countries of Eastern Europe and Central Asia.",29378581,2018,Patient and provider perspectives inform an intervention to improve linkage to care for HIV patients in Ukraine.
2229,"BACKGROUND
Obesity is a worldwide epidemic, and its prevalence is higher among Veterans in the United States. Based on our prior research, primary care teams at a Veterans Affairs (VA) hospital do not feel well-equipped to deliver effective weight management counseling and often lack sufficient time. Further, effective and intensive lifestyle-based weight management programs (e.g. VA MOVE! program) are underutilized despite implementation of systematic screening and referral at all VA sites. The 5As behavior change model (Assess, Advise, Agree, Assist, Arrange) is endorsed by the United States Preventive Service Task Force for use in counseling patients about weight management in primary care and reimbursed by Medicare. In this paper, we describe the iterative development of a technology-assisted intervention designed to provide primary care-based 5As counseling within Patient-Centered Medical Homes without overburdening providers/healthcare teams.


METHODS
Thematic analyses of prior formative work (focus groups with patients [n = 54] and key informant interviews with staff [n = 25]) helped to create a technology-assisted, health coaching intervention called Goals for Eating and Moving (GEM). To further develop the intervention, we then conducted two rounds of testing with previous formative study participants (n = 5 for Round 1, n = 5 for Round 2). Each session included usability testing of prototypes of the online GEM tool, pilot testing of 5As counseling by a Health Coach, and a post-session open-ended interview.


RESULTS
Three main themes emerged from usability data analyses: participants' emotional responses, tool language, and health literacy. Findings from both rounds of usability testing, pilot testing, as well as the open-ended interview data, were used to finalize protocols for the full intervention in the clinic setting to be conducted with Version 3 of the GEM tool.


CONCLUSIONS
The use of qualitative research methods and user-centered design approaches enabled timely detection of salient issues to make iterative improvements to the intervention. Future studies will determine whether this intervention can increase enrollment in intensive weight management programs and promote clinically meaningful weight loss in both Veterans and in other patient populations and health systems.",29378584,2018,Development of a 5As-based technology-assisted weight management intervention for veterans in primary care.
2239,"INTRODUCTION
Low-back pain (LBP) has been correlated to the presence of intervertebral disc (IVD) degeneration on T2-weighted (T2w) MRI. It remains challenging, however, to accurately stage degenerative disc disease (DDD) based on T2w MRI and measurements of IVD height, particularly for early DDD. Several quantitative MRI techniques have been introduced to detect changes in matrix composition signifying early DDD. In this study, we correlated quantitative T2, T1rho and Apparent Diffusion Coefficient (ADC) values to disc mechanical behavior and gold standard early DDD markers in a graded degenerated lumbar IVD caprine model, to assess their potential for early DDD detection.


METHODS
Lumbar caprine IVDs were injected with either 0.25 U/ml or 0.5 U/ml Chondroïtinase ABC (Cabc) to trigger early DDD-like degeneration. Injection with phosphate-buffered saline (PBS) served as control. IVDs were cultured in a bioreactor for 20 days under axial physiological loading. High-resolution 9.4 T MR images were obtained prior to intervention and after culture. Quantitative MR results were correlated to recovery behavior, histological degeneration grading, and the content of glycosaminoglycans (GAGs) and water.


RESULTS
Cabc-injected IVDs showed aberrancies in biomechanics and loss of GAGs without changes in water-content. All MR sequences detected changes in matrix composition, with T1rho showing largest changes pre-to-post in the nucleus, and significantly more than T2 and ADC. Histologically, degeneration due to Cabc injection was mild. T1rho nucleus values correlated strongest with altered biomechanics, histological degeneration score, and loss of GAGs.


CONCLUSIONS
T2- and T1rho quantitative MR-mapping detected early DDD changes. T1rho nucleus values correlated better than T2 and ADC with biomechanical, histological, and GAG changes. Clinical implementation of quantitative MRI, T1rho particularly, could aid in distinguishing DDD more reliably at an earlier stage in the degenerative process.",29381716,2018,"Quantitative MRI in early intervertebral disc degeneration: T1rho correlates better than T2 and ADC with biomechanics, histology and matrix content."
2253,"Cerebral ischemia is the most common cause of stroke with high morbidity, disability and mortality. Sirtuin-2 (Sirt2), a vitally important NAD+-dependent deacetylase which has been widely researched in central nervous system diseases, has also been identified as a promising treatment target using its specific inhibitors such as AK-7. In this study, we found that P38 was specifically activated after focal cerebral ischemic injury, and it was also significantly activated after AK-7 administration in a concentration-dependent manner in vitro and in vivo. AK-7 decreased the infarction volume remarkably and promoted the recovery of neurological function efficiently in the mice evaluated by behavior tests. In contrast, pP38 inhibition increased the infarct volume and exacerbated the symptoms of paralysis. Herein, we suggest AK-7 improves the outcome of brain ischemia in dependence on the P38 activation in mice, which may serve as a strategy for the treatment of stroke.",29382550,2018,Neuroprotective Effect of Sirt2-specific Inhibitor AK-7 Against Acute Cerebral Ischemia is P38 Activation-dependent in Mice.
2256,"Implicit moral evaluations-spontaneous, unintentional judgments about the moral status of actions or persons-are thought to play a pivotal role in moral experience, suggesting a need for research to model these moral evaluations in clinical populations. Prior research reveals that the ventromedial prefrontal cortex (vmPFC) is a critical area underpinning affect and morality, and patients with vmPFC lesions show abnormalities in moral judgment and moral behavior. We use indirect measurement and multinomial modeling to understand differences in implicit moral evaluations among patients with vmPFC lesions. Our model quantifies multiple processes of moral judgment: implicit moral evaluations in response to distracting moral transgressions (Unintentional Judgment), accurate moral judgments about target actions (Intentional Judgment), and a directional tendency to judge actions as morally wrong (Response Bias). Compared to individuals with non-vmPFC brain damage and neurologically healthy comparisons, patients with vmPFC lesions showed a dual deficit in processes of moral judgment. First, patients with vmPFC lesions showed reduced Unintentional Judgment about moral transgressions, but not about non-moral negative affective distracters. Second, patients with vmPFC lesions showed reduced Intentional Judgment about target actions. These findings highlight the utility of a formal modeling approach in moral psychology, revealing a dual deficit in multiple component processes of moral judgment among patients with vmPFC lesions.",29382558,2018,Damage to the ventromedial prefrontal cortex is associated with impairments in both spontaneous and deliberative moral judgments.
